Gmt time,Open,High,Low,Close,Volume
02.11.2019 00:00:00.000,1.11641,1.11641,1.11641,1.11641,0
03.11.2019 00:00:00.000,1.11684,1.11696,1.11639,1.11661,1652000000
04.11.2019 00:00:00.000,1.11660,1.11753,1.11218,1.11279,109786406250
05.11.2019 00:00:00.000,1.11279,1.11401,1.10635,1.10738,152011234375
06.11.2019 00:00:00.000,1.10739,1.10928,1.10651,1.10700,124123617187.5
07.11.2019 00:00:00.000,1.10699,1.10914,1.10360,1.10523,155079140625
08.11.2019 00:00:00.000,1.10524,1.10554,1.10167,1.10176,116906195312.5
09.11.2019 00:00:00.000,1.10176,1.10176,1.10176,1.10176,0
10.11.2019 00:00:00.000,1.10230,1.10231,1.10191,1.10218,1359569946.2891
11.11.2019 00:00:00.000,1.10217,1.10430,1.10163,1.10347,86681398437.5
12.11.2019 00:00:00.000,1.10347,1.10385,1.10025,1.10120,120036429687.5
13.11.2019 00:00:00.000,1.10120,1.10203,1.09953,1.10096,121193085937.5
14.11.2019 00:00:00.000,1.10096,1.10274,1.09890,1.10197,116532054687.5
15.11.2019 00:00:00.000,1.10198,1.10569,1.10145,1.10494,109547429687.5
16.11.2019 00:00:00.000,1.10494,1.10494,1.10494,1.10494,0
17.11.2019 00:00:00.000,1.10489,1.10545,1.10487,1.10539,3888610107.4219
18.11.2019 00:00:00.000,1.10540,1.10899,1.10533,1.10722,112908328125
19.11.2019 00:00:00.000,1.10721,1.10839,1.10626,1.10779,109962585937.5
20.11.2019 00:00:00.000,1.10781,1.10813,1.10530,1.10779,129488828125
21.11.2019 00:00:00.000,1.10779,1.10969,1.10522,1.10656,126596804687.5
22.11.2019 00:00:00.000,1.10657,1.10872,1.10143,1.10179,176378375000
23.11.2019 00:00:00.000,1.10179,1.10179,1.10179,1.10179,0
24.11.2019 00:00:00.000,1.10170,1.10225,1.10162,1.10225,3677939941.4063
25.11.2019 00:00:00.000,1.10225,1.10321,1.10035,1.10104,115068718750
26.11.2019 00:00:00.000,1.10105,1.10256,1.10071,1.10220,111062375000
27.11.2019 00:00:00.000,1.10220,1.10222,1.09922,1.10048,117354781250
28.11.2019 00:00:00.000,1.10049,1.10179,1.10003,1.10113,74289851562.5
29.11.2019 00:00:00.000,1.10113,1.10282,1.09811,1.10150,101410546875
30.11.2019 00:00:00.000,1.10150,1.10150,1.10150,1.10150,0
01.12.2019 00:00:00.000,1.10229,1.10269,1.10170,1.10182,2960699951.1719
02.12.2019 00:00:00.000,1.10182,1.10907,1.10029,1.10761,133215328125
